GEOID,row,NAMELSAD
01027,,Clay County
28061,,Jasper County
01091,,Marengo County
22019,972,Calcasieu Parish
22019,973,Calcasieu Parish
22019,974,Calcasieu Parish
22019,1025,Calcasieu Parish
22019,1035,Calcasieu Parish
22111,,Union Parish
01049,45,DeKalb County
22105,958,Tangipahoa Parish
22105,959,Tangipahoa Parish
22105,981,Tangipahoa Parish
22105,994,Tangipahoa Parish
22105,1004,Tangipahoa Parish
22105,1010,Tangipahoa Parish
22105,1017,Tangipahoa Parish
28017,,Chickasaw County
28145,1131,Union County
22021,,Caldwell Parish
22107,,Tensas Parish
28069,,Kemper County
01019,100,Cherokee County
01065,,Hale County
01105,,Perry County
01033,47,Colbert County
01063,,Greene County
28151,,Washington County
28055,,Issaquena County
01013,117,Butler County
28009,,Benton County
28087,1136,Lowndes County
28073,1064,Lamar County
22049,,Jackson Parish
01081,30,Lee County
01081,49,Lee County
01081,55,Lee County
01081,92,Lee County
01081,124,Lee County
01081,126,Lee County
28003,1085,Alcorn County
28071,,Lafayette County
22043,,Grant Parish
01097,8,Mobile County
01097,10,Mobile County
01097,12,Mobile County
01097,15,Mobile County
01097,44,Mobile County
01097,52,Mobile County
01097,54,Mobile County
01097,58,Mobile County
01097,65,Mobile County
01097,73,Mobile County
01097,80,Mobile County
01097,82,Mobile County
01097,89,Mobile County
01097,95,Mobile County
01097,98,Mobile County
01097,99,Mobile County
01097,105,Mobile County
01097,122,Mobile County
01097,125,Mobile County
01097,129,Mobile County
01097,134,Mobile County
01097,145,Mobile County
01097,149,Mobile County
01057,,Fayette County
01017,59,Chambers County
01017,115,Chambers County
28015,,Carroll County
22061,983,Lincoln Parish
22061,1027,Lincoln Parish
28085,1108,Lincoln County
28143,1103,Tunica County
01125,56,Tuscaloosa County
01125,66,Tuscaloosa County
01125,110,Tuscaloosa County
01125,113,Tuscaloosa County
01125,116,Tuscaloosa County
01125,131,Tuscaloosa County
01125,133,Tuscaloosa County
01131,,Wilcox County
28097,1125,Montgomery County
22053,964,Jefferson Davis Parish
28019,,Choctaw County
28139,,Tippah County
28109,1071,Pearl River County
28109,1112,Pearl River County
28111,,Perry County
28011,,Bolivar County
22055,947,Lafayette Parish
22055,962,Lafayette Parish
22055,969,Lafayette Parish
22055,1008,Lafayette Parish
22055,1015,Lafayette Parish
22055,1039,Lafayette Parish
22055,1041,Lafayette Parish
01095,1,Marshall County
01095,2,Marshall County
01095,70,Marshall County
01095,146,Marshall County
22113,,Vermilion Parish
22035,,East Carroll Parish
22037,,East Feliciana Parish
22087,997,St. Bernard Parish
22087,1014,St. Bernard Parish
01053,138,Escambia County
01083,24,Limestone County
01009,,Blount County
28149,1072,Warren County
28149,1091,Warren County
28149,1121,Warren County
28149,1129,Warren County
01099,,Monroe County
28101,,Newton County
01093,,Marion County
01085,,Lowndes County
28135,,Tallahatchie County
01037,,Coosa County
22047,,Iberville Parish
28125,,Sharkey County
01109,81,Pike County
01109,83,Pike County
22083,956,Richland Parish
22099,961,St. Martin Parish
22099,976,St. Martin Parish
01119,,Sumter County
01133,,Winston County
28035,1056,Forrest County
28035,1062,Forrest County
28035,1114,Forrest County
28035,1134,Forrest County
01121,86,Talladega County
01121,121,Talladega County
22027,,Claiborne Parish
28161,,Yalobusha County
22039,,Evangeline Parish
28023,,Clarke County
28127,1135,Simpson County
28131,1105,Stone County
28121,1073,Rankin County
28121,1081,Rankin County
28121,1086,Rankin County
28121,1089,Rankin County
28121,1096,Rankin County
28121,1100,Rankin County
28121,1111,Rankin County
28121,1118,Rankin County
28121,1181,Rankin County
28091,,Marion County
28039,1106,George County
01071,,Jackson County
01003,3,Baldwin County
01003,16,Baldwin County
01003,35,Baldwin County
01003,38,Baldwin County
01003,40,Baldwin County
01003,42,Baldwin County
01003,43,Baldwin County
01003,64,Baldwin County
01003,77,Baldwin County
01003,101,Baldwin County
01003,104,Baldwin County
01003,140,Baldwin County
01003,152,Baldwin County
22097,1007,St. Landry Parish
01011,,Bullock County
01001,,Autauga County
28095,,Monroe County
01087,,Macon County
22077,,Pointe Coupee Parish
01115,32,St. Clair County
01115,33,St. Clair County
01115,51,St. Clair County
01115,102,St. Clair County
28123,1130,Scott County
22059,,LaSalle Parish
01023,,Choctaw County
28051,,Holmes County
28105,1128,Oktibbeha County
22119,,Webster Parish
01043,19,Cullman County
01043,46,Cullman County
22093,,St. James Parish
01117,23,Shelby County
01117,53,Shelby County
01117,63,Shelby County
01117,69,Shelby County
01117,103,Shelby County
01117,108,Shelby County
01117,150,Shelby County
28031,,Covington County
22075,,Plaquemines Parish
28115,,Pontotoc County
22067,,Morehouse Parish
01047,,Dallas County
28163,,Yazoo County
22079,,Rapides Parish
22009,,Avoyelles Parish
28137,,Tate County
28077,,Lawrence County
22127,,Winn Parish
22115,,Vernon Parish
28007,,Attala County
28117,,Prentiss County
22025,,Catahoula Parish
28113,1102,Pike County
01107,,Pickens County
28029,1127,Copiah County
01077,61,Lauderdale County
22007,,Assumption Parish
28013,,Calhoun County
28041,,Greene County
28005,,Amite County
01029,,Cleburne County
22031,,De Soto Parish
01005,31,Barbour County
22017,954,Caddo Parish
22017,980,Caddo Parish
22017,988,Caddo Parish
22017,998,Caddo Parish
22017,1020,Caddo Parish
01061,,Geneva County
28045,1074,Hancock County
28045,1075,Hancock County
28045,1101,Hancock County
22081,,Red River Parish
28129,,Smith County
22117,,Washington Parish
01045,78,Dale County
01045,93,Dale County
22085,,Sabine Parish
22051,996,Jefferson Parish
22051,1001,Jefferson Parish
22051,1005,Jefferson Parish
22051,1006,Jefferson Parish
22051,1009,Jefferson Parish
22051,1021,Jefferson Parish
22051,1026,Jefferson Parish
22051,1028,Jefferson Parish
22051,1030,Jefferson Parish
22051,1033,Jefferson Parish
22051,1040,Jefferson Parish
22103,948,St. Tammany Parish
22103,950,St. Tammany Parish
22103,965,St. Tammany Parish
22103,970,St. Tammany Parish
22103,989,St. Tammany Parish
22103,991,St. Tammany Parish
22103,1000,St. Tammany Parish
22103,1013,St. Tammany Parish
22103,1016,St. Tammany Parish
22103,1031,St. Tammany Parish
22023,,Cameron Parish
22033,951,East Baton Rouge Parish
22033,955,East Baton Rouge Parish
22033,957,East Baton Rouge Parish
22033,960,East Baton Rouge Parish
22033,978,East Baton Rouge Parish
22033,995,East Baton Rouge Parish
22033,1012,East Baton Rouge Parish
22033,1029,East Baton Rouge Parish
22033,1032,East Baton Rouge Parish
22033,1034,East Baton Rouge Parish
22033,1036,East Baton Rouge Parish
28021,,Claiborne County
28153,,Wayne County
01123,,Tallapoosa County
28159,,Winston County
28053,,Humphreys County
01025,,Clarke County
