BUYER_COUNTY,BUYER_STATE,year,count,DOSAGE_UNIT,countyfips,STATE,COUNTY,county_name,NAME,variable,population,pills_per_person
ABBEVILLE,SC,2006,877,363620,45001,45,1,Abbeville,"Abbeville County, South Carolina",POPESTIMATE2006,25821,14.08
ABBEVILLE,SC,2007,908,402940,45001,45,1,Abbeville,"Abbeville County, South Carolina",POPESTIMATE2007,25745,15.65
ABBEVILLE,SC,2008,871,424590,45001,45,1,Abbeville,"Abbeville County, South Carolina",POPESTIMATE2008,25699,16.52
ABBEVILLE,SC,2009,930,467230,45001,45,1,Abbeville,"Abbeville County, South Carolina",B01003_001,25347,18.43
ABBEVILLE,SC,2010,1197,539280,45001,45,1,Abbeville,"Abbeville County, South Carolina",B01003_001,25643,21.03
ABBEVILLE,SC,2011,1327,566560,45001,45,1,Abbeville,"Abbeville County, South Carolina",B01003_001,25515,22.2
ABBEVILLE,SC,2012,1509,589010,45001,45,1,Abbeville,"Abbeville County, South Carolina",B01003_001,25387,23.2
ACADIA,LA,2006,5802,1969720,22001,22,1,Acadia,"Acadia Parish, Louisiana",POPESTIMATE2006,60522,32.55
ACADIA,LA,2007,5660,2207310,22001,22,1,Acadia,"Acadia Parish, Louisiana",POPESTIMATE2007,60762,36.33
ACADIA,LA,2008,5703,2246900,22001,22,1,Acadia,"Acadia Parish, Louisiana",POPESTIMATE2008,61115,36.77
ACADIA,LA,2009,6070,2537240,22001,22,1,Acadia,"Acadia Parish, Louisiana",B01003_001,59616,42.56
ACADIA,LA,2010,6266,2679687,22001,22,1,Acadia,"Acadia Parish, Louisiana",B01003_001,61139,43.83
ACADIA,LA,2011,6499,2806270,22001,22,1,Acadia,"Acadia Parish, Louisiana",B01003_001,61430,45.68
ACADIA,LA,2012,7151,2640841,22001,22,1,Acadia,"Acadia Parish, Louisiana",B01003_001,61611,42.86
ACCOMACK,VA,2006,1410,487300,51001,51,1,Accomack,"Accomack County, Virginia",POPESTIMATE2006,35192,13.85
ACCOMACK,VA,2007,1826,614000,51001,51,1,Accomack,"Accomack County, Virginia",POPESTIMATE2007,34553,17.77
ACCOMACK,VA,2008,1881,691600,51001,51,1,Accomack,"Accomack County, Virginia",POPESTIMATE2008,33970,20.36
ACCOMACK,VA,2009,1825,702600,51001,51,1,Accomack,"Accomack County, Virginia",B01003_001,38522,18.24
ACCOMACK,VA,2010,2336,800550,51001,51,1,Accomack,"Accomack County, Virginia",B01003_001,34066,23.5
ACCOMACK,VA,2011,2588,918550,51001,51,1,Accomack,"Accomack County, Virginia",B01003_001,33701,27.26
ACCOMACK,VA,2012,2510,839370,51001,51,1,Accomack,"Accomack County, Virginia",B01003_001,33454,25.09
ADA,ID,2006,26077,11094634,16001,16,1,Ada,"Ada County, Idaho",POPESTIMATE2006,363498,30.52
ADA,ID,2007,24750,10826747,16001,16,1,Ada,"Ada County, Idaho",POPESTIMATE2007,375368,28.84
ADA,ID,2008,26294,11817954,16001,16,1,Ada,"Ada County, Idaho",POPESTIMATE2008,382618,30.89
ADA,ID,2009,28967,13061399,16001,16,1,Ada,"Ada County, Idaho",B01003_001,368791,35.42
ADA,ID,2010,34885,16145256,16001,16,1,Ada,"Ada County, Idaho",B01003_001,380718,42.41
ADA,ID,2011,36742,18138918,16001,16,1,Ada,"Ada County, Idaho",B01003_001,388174,46.73
ADA,ID,2012,38273,18992237,16001,16,1,Ada,"Ada County, Idaho",B01003_001,394961,48.09
ADAIR,IA,2006,349,135525,19001,19,1,Adair,"Adair County, Iowa",POPESTIMATE2006,7924,17.1
ADAIR,IA,2007,412,159700,19001,19,1,Adair,"Adair County, Iowa",POPESTIMATE2007,7871,20.29
ADAIR,IA,2008,567,183800,19001,19,1,Adair,"Adair County, Iowa",POPESTIMATE2008,7747,23.73
ADAIR,IA,2009,716,217900,19001,19,1,Adair,"Adair County, Iowa",B01003_001,7555,28.84
