BUYER_COUNTY,BUYER_STATE,countyfips,avg_pills_per_person
ABBEVILLE,SC,45001,18.73
ACADIA,LA,22001,40.08
ACCOMACK,VA,51001,20.87
ADA,ID,16001,37.56
ADAIR,IA,19001,25.62
ADAIR,KY,21001,50.65
ADAIR,MO,29001,49.02
ADAIR,OK,40001,40.23
ADAMS,CO,08001,25.78
ADAMS,IA,19003,18.54
ADAMS,ID,16003,0.41
ADAMS,IL,17001,42.18
ADAMS,IN,18001,20.77
ADAMS,MS,28001,73.5
ADAMS,ND,38001,46.36
ADAMS,NE,31001,25.21
ADAMS,OH,39001,60.98
ADAMS,PA,42001,24.02
ADAMS,WA,53001,28.47
ADAMS,WI,55001,24.88
ADDISON,VT,50001,22.64
ADJUNTAS,PR,,NaN
AGUADA,PR,,NaN
AGUADILLA,PR,,NaN
AGUAS BUENAS,PR,,NaN
AIBONITO,PR,,NaN
AIKEN,SC,45003,34.73
AITKIN,MN,27001,32.02
ALACHUA,FL,12001,37.31
ALAMANCE,NC,37001,36.85
ALAMEDA,CA,06001,59.79
ALAMOSA,CO,08003,88.01
ALBANY,NY,36001,24.86
ALBANY,WY,56001,18.51
ALBEMARLE,VA,51003,25.39
ALCONA,MI,26001,26.99
ALCORN,MS,28003,86.95
ALEUTIANS EAST,AK,02013,0.07
ALEUTIANS WEST,AK,02016,4.96
ALEXANDER,IL,17003,16.99
ALEXANDER,NC,37003,38.95
ALEXANDRIA CITY,VA,51510,13.37
ALFALFA,OK,40003,15.45
ALGER,MI,26003,36.96
ALLAMAKEE,IA,19005,18.15
ALLEGAN,MI,26005,24.95
ALLEGANY,MD,24001,57.2
ALLEGANY,NY,36003,32.65
ALLEGHANY,NC,37005,39.04
ALLEGHANY,VA,51005,29.17
ALLEGHENY,PA,42003,39.55
ALLEN,IN,18003,29.5
ALLEN,KS,20001,55.78
ALLEN,KY,21003,69.09
ALLEN,LA,22003,48.02
ALLEN,OH,39003,30.8
ALLENDALE,SC,45005,24.66
ALPENA,MI,26007,49.95
ALPINE,CA,06003,1.13
AMADOR,CA,06005,67.69
AMELIA,VA,51007,18.05
AMHERST,VA,51009,24.87
AMITE,MS,28005,19.54
ANASCO,PR,,NaN
ANCHORAGE,AK,02020,31.36
ANDERSON,KS,20003,26.49
ANDERSON,KY,21005,55.37
ANDERSON,SC,45007,48.05
ANDERSON,TN,47001,82.11
ANDERSON,TX,48001,41.7
ANDREW,MO,29003,19.13
ANDREWS,TX,48003,24.79
ANDROSCOGGIN,ME,23001,46.7
ANGELINA,TX,48005,48.22
ANNE ARUNDEL,MD,24003,33.86
ANOKA,MN,27003,25.18
ANSON,NC,37007,31.6
ANTELOPE,NE,31003,9.39
ANTRIM,MI,26009,28.31
APACHE,AZ,04001,9.4
APPANOOSE,IA,19007,38.55
APPLING,GA,13001,43.86
APPOMATTOX,VA,51011,43.32
ARANSAS,TX,48007,44.49
ARAPAHOE,CO,08005,25.84
ARCHER,TX,48009,0.02
ARCHULETA,CO,08007,17.46
ARECIBO,PR,,NaN
ARENAC,MI,26011,48.92
ARKANSAS,AR,05001,52.28
ARLINGTON,VA,51013,8.95
ARMSTRONG,PA,42005,37.19
ARMSTRONG,TX,48011,8.6
AROOSTOOK,ME,23003,41.72
ARROYO,PR,,NaN
ASCENSION,LA,22005,49.25
ASHE,NC,37009,42.9
ASHLAND,OH,39005,21.46
ASHLAND,WI,55003,40.25
ASHLEY,AR,05003,38.24
ASHTABULA,OH,39007,40.49
ASOTIN,WA,53003,70.65
ASSUMPTION,LA,22007,11.41
ATASCOSA,TX,48013,48.05
ATCHISON,KS,20005,46.04
ATCHISON,MO,29005,26.37
ATHENS,OH,39009,47.39
ATKINSON,GA,13003,50.41
ATLANTIC,NJ,34001,38.57
ATOKA,OK,40005,42.78
ATTALA,MS,28007,34.61
AUDRAIN,MO,29007,27.16
AUDUBON,IA,19009,14.86
AUGLAIZE,OH,39011,24.73
AUGUSTA,VA,51015,20.66
AUSTIN,TX,48015,27.61
AUTAUGA,AL,01001,57.66
AVERY,NC,37011,57.5
AVOYELLES,LA,22009,46.08
BACA,CO,08009,20.74
BACON,GA,13005,102.88
BAILEY,TX,48017,20.24
BAKER,FL,12003,78.3
BAKER,GA,13007,0.34
BAKER,OR,41001,63.78
BALDWIN,AL,01003,56.67
BALDWIN,GA,13009,36.39
BALLARD,KY,21007,42.95
BALTIMORE,MD,24005,38.02
BALTIMORE CITY,MD,24510,30.66
BAMBERG,SC,45009,30.73
BANDERA,TX,48019,19.33
BANKS,GA,13011,28.72
BANNOCK,ID,16005,38.95
BARAGA,MI,26013,42.85
BARBER,KS,20007,35.77
BARBOUR,AL,01005,40.88
BARBOUR,WV,54001,50.28
BARCELONETA,PR,,NaN
BARNES,ND,38003,24.28
BARNSTABLE,MA,25001,33.65
BARNWELL,SC,45011,48.91
BARRANQUITAS,PR,,NaN
BARREN,KY,21009,74.62
BARRON,WI,55005,28.67
BARROW,GA,13013,46.52
BARRY,MI,26015,24.28
BARRY,MO,29009,62.99
BARTHOLOMEW,IN,18005,67.89
BARTON,KS,20009,45
BARTON,MO,29011,47.97
BARTOW,GA,13015,48.76
BASTROP,TX,48021,28.41
BATES,MO,29013,45.44
BATH,KY,21011,29.86
BATH,VA,51017,19.01
BAXTER,AR,05005,52.07
BAY,FL,12005,56.13
BAY,MI,26017,47.44
BAYAMON,PR,,NaN
BAYFIELD,WI,55007,4.2
BAYLOR,TX,48023,33.53
BEADLE,SD,46005,18.76
BEAR LAKE,ID,16007,48.33
BEAUFORT,NC,37013,46.87
BEAUFORT,SC,45013,22.53
BEAUREGARD,LA,22011,34.23
BEAVER,OK,40007,18.85
BEAVER,PA,42007,33.6
BEAVER,UT,49001,38.74
BEAVERHEAD,MT,30001,28.27
BECKER,MN,27005,20.48
BECKHAM,OK,40009,83.79
BEDFORD,PA,42009,31.63
BEDFORD,TN,47003,45.41
BEDFORD,VA,51019,17.51
BEE,TX,48025,26.65
BELKNAP,NH,33001,34.28
BELL,KY,21013,155.87
BELL,TX,48027,24.52
BELMONT,OH,39013,61.14
BELTRAMI,MN,27007,18.3
BEN HILL,GA,13017,52.05
BENEWAH,ID,16009,51.84
BENNETT,SD,46007,12.1
BENNINGTON,VT,50003,31.07
BENSON,ND,38005,1.28
BENT,CO,08011,25.84
BENTON,AR,05007,37.42
BENTON,IA,19011,13.97
BENTON,IN,18007,12.72
BENTON,MN,27009,18.6
BENTON,MO,29015,53.29
BENTON,MS,28009,19.84
BENTON,OR,41003,29.95
BENTON,TN,47005,94.78
BENTON,WA,53005,42.58
BENZIE,MI,26019,39.02
BERGEN,NJ,34003,18.89
BERKELEY,SC,45015,28.75
BERKELEY,WV,54003,44.75
BERKS,PA,42011,22.31
BERKSHIRE,MA,25003,35.48
BERNALILLO,NM,35001,44.44
BERRIEN,GA,13019,38.29
BERRIEN,MI,26021,40.16
BERTIE,NC,37015,24.53
BETHEL,AK,02050,0.22
BEXAR,TX,48029,28.34
BIBB,AL,01007,47.22
BIBB,GA,13021,69.75
BIENVILLE,LA,22013,20.98
BIG HORN,MT,30003,16.46
BIG HORN,WY,56003,45.89
BIG STONE,MN,27011,27.97
BINGHAM,ID,16011,25.41
BLACK HAWK,IA,19013,25.42
BLACKFORD,IN,18009,80.97
BLADEN,NC,37017,58.24
BLAINE,ID,16013,18.36
BLAINE,MT,30005,13.57
BLAINE,OK,40011,21.06
BLAIR,PA,42013,49.43
BLANCO,TX,48031,14.62
BLAND,VA,51021,37.78
BLECKLEY,GA,13023,50.23
BLEDSOE,TN,47007,49.2
BLOUNT,AL,01009,30.04
BLOUNT,TN,47009,54.03
BLUE EARTH,MN,27013,20.32
BOISE,ID,16015,0.21
BOLIVAR,MS,28011,19.32
BOLLINGER,MO,29017,29.89
BON HOMME,SD,46009,13.2
BOND,IL,17005,20.91
BONNER,ID,16017,42.94
BONNEVILLE,ID,16019,39.75
BOONE,AR,05009,52.01
BOONE,IA,19015,32.11
BOONE,IL,17007,23.05
BOONE,IN,18011,39.6
BOONE,KY,21015,64.55
BOONE,MO,29019,28.26
BOONE,NE,31011,30.06
BOONE,WV,54005,107.74
BOSQUE,TX,48035,22.2
BOSSIER,LA,22015,30.52
BOTETOURT,VA,51023,18.9
BOTTINEAU,ND,38009,10.23
BOULDER,CO,08013,25.54
BOUNDARY,ID,16021,47.87
BOURBON,KS,20011,47.41
BOURBON,KY,21017,50.36
BOWIE,TX,48037,53.45
BOWMAN,ND,38011,14.64
BOX BUTTE,NE,31013,27.05
BOX ELDER,UT,49003,38.48
BOYD,KY,21019,106.93
BOYD,NE,31015,16.83
BOYLE,KY,21021,81.67
BRACKEN,KY,21023,20.2
BRADFORD,FL,12007,55.52
BRADFORD,PA,42015,34.29
BRADLEY,AR,05011,32.22
BRADLEY,TN,47011,79.52
BRANCH,MI,26023,29.26
BRANTLEY,GA,13025,33.03
BRAXTON,WV,54007,57.26
BRAZORIA,TX,48039,32.09
BRAZOS,TX,48041,22.04
BREATHITT,KY,21025,107.19
BRECKINRIDGE,KY,21027,46.5
BREMER,IA,19017,33.7
BREVARD,FL,12009,48.68
BREWSTER,TX,48043,38.71
BRISTOL,MA,25005,35.19
BRISTOL,RI,44001,21.74
BRISTOL,VA,51520,104.36
BROADWATER,MT,30007,17.53
BRONX,NY,36005,13.96
BROOKE,WV,54009,55.67
BROOKINGS,SD,46011,13.97
BROOKS,GA,13027,59.34
BROOKS,TX,48047,24.54
BROOME,NY,36007,40.53
BROOMFIELD,CO,08014,40.49
BROWARD,FL,12011,46.66
BROWN,IL,17009,13.71
BROWN,IN,18013,24.29
BROWN,KS,20013,58.81
BROWN,MN,27015,19.76
BROWN,NE,31017,25.88
BROWN,OH,39015,47.94
BROWN,SD,46013,19.41
BROWN,TX,48049,66.24
BROWN,WI,55009,25.86
BRULE,SD,46015,20.53
BRUNSWICK,NC,37019,61.59
BRUNSWICK,VA,51025,6.52
BRYAN,GA,13029,46.87
BRYAN,OK,40013,61.72
BUCHANAN,IA,19019,11.61
BUCHANAN,MO,29021,62.7
BUCHANAN,VA,51027,89.4
BUCKINGHAM,VA,51029,26.98
BUCKS,PA,42017,38.01
BUENA VISTA,IA,19021,13.96
BUENA VISTA CITY,VA,51530,44.41
BUFFALO,NE,31019,17.29
BUFFALO,WI,55011,7.38
BULLITT,KY,21029,40.72
BULLOCH,GA,13031,26.79
BULLOCK,AL,01011,25.07
BUNCOMBE,NC,37021,45.28
BUREAU,IL,17011,14.83
BURKE,GA,13033,22.24
BURKE,NC,37023,68.16
BURLEIGH,ND,38015,27.95
BURLESON,TX,48051,20.32
BURLINGTON,NJ,34005,31.54
BURNET,TX,48053,43.43
BURNETT,WI,55013,30.06
BURT,NE,31021,17.38
BUTLER,AL,01013,51.93
BUTLER,IA,19023,10.79
BUTLER,KS,20015,48.53
BUTLER,KY,21031,83.69
