BUYER_DEA_NO,BUYER_BUS_ACT,BUYER_COUNTY,BUYER_STATE,avg,linear_average,lat,lon,BUYER_NAME,BUYER_ADDRESS1,BUYER_CITY,BUYER_ZIP,BUYER_ADDL_CO_INFO,BUYER_ADDRESS2
AA1120473,CHAIN PHARMACY,EAST BATON ROUGE,LA,0.4,0.022584126580064045,30.3969,-91.1099,ALBERTSONS LLC,7515 PERKINS ROAD,BATON ROUGE,70808,SAV-ON PHARMACY #1311,
AA2494033,CHAIN PHARMACY,EAST BATON ROUGE,LA,0.3,0.015793489484591607,30.5145,-91.0279,SAV-A-CENTER PHARMACY #10,14485 GREENWELL SPRINGS ROAD,GREENWELL SPRINGS,70739,,
AA2511295,RETAIL PHARMACY,IBERIA,LA,6.9,0.4298739221675183,30.0019,-91.8416,ACKAL'S IBERIA PHARMACY,1620 HOPKINS ST,NEW IBERIA,70560,,
AA2817041,RETAIL PHARMACY,LAFOURCHE,LA,7.6,0.47327732848113435,29.7019,-90.5645,ACADIA PARK DRUGS,108 ACADIA DR,RACELAND,70394,,
AA3209170,CHAIN PHARMACY,EAST BATON ROUGE,LA,0.3,0.018093033603592167,30.4322,-91.0833,ALBERTSONS LLC,9650 AIRLINE HIGHWAY,BATON ROUGE,70815,SAV-ON PHARMACY #712,
AA3399412,RETAIL PHARMACY,JEFFERSON,LA,0.3,0.01653559676981787,29.9665,-90.1435,ALTON OCHSNER MED FOUNDATION,OCHSNER PHARMACY,NEW ORLEANS,70121,,1514 JEFFERSON HWY
AA3422134,RETAIL PHARMACY,JEFFERSON DAVIS,LA,14.7,0.9176705944160757,30.2226,-92.6625,AUTIN JUNIUS,STEWARTS DRUG STORE,JENNINGS,70546,,403 W PLAQUEMINE
AA4383511,RETAIL PHARMACY,OUACHITA,LA,1.4,0.08855327517805407,32.5209,-92.1105,ARON'S PHARMACY,"ARON, CARL W",MONROE,71201,,1209 NO 18TH ST
AA4704183,RETAIL PHARMACY,LAFAYETTE,LA,0,0.002977856032463522,30.2191,-92.0258,ACADIANA PHARMACY OF LOURDES,224 ST LANDRY ST,LAFAYETTE,70506,,
AA7373171,CHAIN PHARMACY,EAST BATON ROUGE,LA,0.1,0.0055768436454013415,30.459,-91.0578,ALBERTSON'S,DBA SAV-ON PHARMACY #2710,BATON ROUGE,70815,,11321 FLORIDA BLVD
AA7373183,CHAIN PHARMACY,CADDO,LA,1,0.06565853924898149,32.4554,-93.7094,ALBERTSONS LLC,105 SOUTHFIELD ROAD,SHREVEPORT,71105,SAV-ON PHARMACY #0218,
AA7382536,CHAIN PHARMACY,LAFAYETTE,LA,0.4,0.02361802227069054,30.2089,-92.0387,ALBERTSONS LLC,2678 JOHNSTON ST,LAFAYETTE,70501,SAV-ON PHARMACY #120,
AA7884580,RETAIL PHARMACY,FRANKLIN,LA,37.7,2.359442935391792,32.1544,-91.7272,ADAMS BROS PHARMACY INC,1513 EIGHTH STREET,WINNSBORO,71295,,
