BUYER_DEA_NO,BUYER_STATE,BUYER_COUNTY,lat,lon,total_dosage_unit,total_records,countyfips,average_population,per_person,linear_per_person,BUYER_BUS_ACT,BUYER_NAME,BUYER_ADDRESS1,BUYER_CITY,BUYER_ZIP,BUYER_ADDL_CO_INFO,BUYER_ADDRESS2
AB1564562,LA,JEFFERSON,33.6114,-117.9262,1799950,2803,22051,432413.71428571426,0.6,1.8655264469521367,RETAIL PHARMACY,BBC INC,DBA C & G PHARMACY,RIVER RIDGE,70123,,9311 JEFFERSON HWY
BM5174254,LA,ACADIA,30.3287,-92.4918,646000,1633,22001,60885,1.5,4.755293191920564,RETAIL PHARMACY,MILLER'S FAMILY PHARMACY,"119 S 5TH, SUITE B",IOTA,70543,,PO BOX 429
BB2469751,LA,ALLEN,30.622,-92.7735,894510,2255,22003,25771,5,15.556632518737207,RETAIL PHARMACY,PHIL'S PHARMACY,805 WEST 7TH AVENUE,OBERLIN,70655,,PO BOX 189
FF1782665,LA,ALLEN,30.7997,-92.6739,659920,2376,22003,25771,3.7,11.476795806360116,RETAIL PHARMACY,FRED'S PHARMACY #2499,739 HWY 165,OAKDALE,71463,,
AT3397494,LA,ALLEN,30.8022,-92.6713,635700,1878,22003,25771,3.5,11.055577318045296,RETAIL PHARMACY,THRIFT CITY FAMILY PHARMACY,201 HWY 165 SOUTH,OAKDALE,71463,,
BB6547876,LA,ALLEN,30.622,-92.7735,165600,287,22003,25771,0.9,2.8799038516210143,RETAIL PHARMACY,BUCK'S PHARMACY,MDB-DRUGS,OBERLIN,70655,,805 W 7TH AVENUE
BW5506083,LA,ALLEN,30.7933,-92.6779,1708630,8067,22003,25771,9.5,29.715278088797493,CHAIN PHARMACY,WAL-MART PHARMACY 10-1107,1900 HWY 165 SOUTH,OAKDALE,71463,,
BW5546265,LA,BEAUREGARD,30.8661,-93.2882,1473900,6888,22011,34977.71428571428,6,18.88594700908789,CHAIN PHARMACY,WAL-MART PHARMACY 10-0505,1125 N PINE,DE RIDDER,70634,,
FW0483913,LA,BEAUREGARD,30.8608,-93.2872,1031200,2544,22011,34977.71428571428,4.2,13.213340572875426,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",916 N. PINE ST.,DERIDDER,70634,DBA:  WALGREENS #10537,
AL3414466,LA,BEAUREGARD,30.8546,-93.2887,932400,2862,22011,34977.71428571428,3.8,11.947351153634875,RETAIL PHARMACY,IDEAL DRUG STORE INC,LE RAY G E,DERIDDER,70634,,610 N PINE
FI2989640,LA,BEAUREGARD,30.8546,-93.2887,215600,692,22011,34977.71428571428,0.9,2.7625210350961464,RETAIL PHARMACY,"IDEAL HEALTH MART PHARMACY, INC",610 NORTH PINE STREET,DERIDDER,70634,,
BP0367373,LA,CADDO,32.5066,-93.7628,93000,76,22017,252980.2857142857,0.1,0.1646597820437794,RETAIL PHARMACY,POWELL MEDICAL CTR PHARMACY,515 PIERRE AVE,SHREVEPORT,71101,,
AM5781718,LA,CADDO,32.4931,-93.7458,4021530,7803,22017,252980.2857142857,2.3,7.12463915560352,RETAIL PHARMACY,MEDIC PHARMACY #11,1849 LINE AVE,SHREVEPORT,71101,,
BS9040748,LA,CADDO,32.4997,-93.7457,2538760,3508,22017,252980.2857142857,1.4,4.497689987407483,RETAIL PHARMACY,QVL PHARMACY #201,1303 LINE AVENUE,SHREVEPORT,71101,,SUITE 300
BM5312208,LA,CADDO,32.4929,-93.7458,8300,18,22017,252980.2857142857,0,0.014601044312233517,RETAIL PHARMACY,MEDIC'S COMPOUNDING LAB,1847 LINE AVENUE,SHREVEPORT,71101,,
AM3407031,LA,CADDO,32.4815,-93.7632,1586882,1746,22017,252980.2857142857,0.9,2.811295522774325,RETAIL PHARMACY,MITCHELL DRUG STORE #1,3102 LINWOOD AVE,SHREVEPORT,71103,,
FM2828830,LA,CADDO,32.4815,-93.7632,268450,528,22017,252980.2857142857,0.2,0.4754957387734102,RETAIL PHARMACY,RITE CARE PHARMACY,3102 LINWOOD AVENUE,SHREVEPORT,71103,,
BW6181818,LA,CADDO,32.401,-93.8042,4689800,7809,22017,252980.2857142857,2.6,8.308579564858066,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",9209 MANSFIELD RD.,SHREVEPORT,71118,DBA: WALGREENS # 04998,
BS5880807,LA,CADDO,32.4014,-93.8003,1662260,1549,22017,252980.2857142857,0.9,2.94483894110642,RETAIL PHARMACY,STERLING HLTH CARE SERV,2535 BERT KOUNS,SHREVEPORT,71118,OMNICARE OF SHREVEPORT,SUITE 211
AK3417006,LA,EAST BATON ROUGE,30.5029,-91.1514,565750,1856,22033,434462.71428571426,0.2,0.5835250088271374,CHAIN PHARMACY,K & B LOUISIANA CORP,PLANK ROAD VILLAGE SHOPPING CE,BATON ROUGE,70805,RITE AID #7314,5840 PLANK ROAD
BW9588128,LA,EAST BATON ROUGE,30.5019,-91.1301,2726060,4327,22033,434462.71428571426,0.9,2.812104462262392,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",5955 AIRLINE HWY,BATON ROUGE,70805,DBA: WALGREENS # 09860,
BW8639366,LA,EAST BATON ROUGE,30.4842,-91.0903,1627900,3291,22033,434462.71428571426,0.5,1.679240747062046,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",3671 JOOR ROAD,BATON ROUGE,70814,DBA: WALGREENS # 07836,
BA5925283,LA,EAST BATON ROUGE,30.4787,-91.1097,8100,20,22033,434462.71428571426,0,0.008252324717833768,RETAIL PHARMACY,ASSOCIATED VETERNIARY SERVICE,3205 LANIER DRIVE,BATON ROUGE,70814,,
BW5456290,LA,EAST BATON ROUGE,30.3688,-91.0749,1730500,4345,22033,434462.71428571426,0.6,1.7850830807652909,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",12881 PERKINS RD.,BATON ROUGE,70810,DBA: WALGREENS # 03610,
FL0161834,LA,EAST BATON ROUGE,30.3792,-91.0968,1158300,2002,22033,434462.71428571426,0.4,1.1948005920226323,CHAIN PHARMACY,"LOUISIANA CVS PHARMACY, L.L.C.","7777 BLUEBONNET BLVD,, SUITE 100",BATON ROUGE,70810,DBA: CVS/PHARMACY  # 01116,
BT9515985,LA,EAST BATON ROUGE,30.3655,-91.0775,6600,65,22033,434462.71428571426,0,0.006704922178312645,RETAIL PHARMACY,TRIEL - REGIONS PHARMACY,9270 SIEGEN LANE,BATON ROUGE,70810,,SUITE 803
BN9131587,LA,EAST BATON ROUGE,30.3803,-91.0943,61030,238,22033,434462.71428571426,0,0.06285500232906921,RETAIL PHARMACY,NATIONAL PHARMACY ACQUISITION,10105 PARK ROWE CIRCLE,BATON ROUGE,70810,,SUITE A
BW8066373,LA,IBERIA,30.0002,-91.7996,2741780,5115,22045,73613.85714285714,5.3,16.693019120300374,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",1102 PARKVIEW DRIVE,NEW IBERIA,70563,DBA: WALGREENS # 07166,
BL4774522,LA,IBERIA,30.0075,-91.7927,2359700,4441,22045,73613.85714285714,4.6,14.366753574672133,RETAIL PHARMACY,L & M PHARMACY,1033 ANDRE STREET,NEW IBERIA,70563,,
AF3421699,LA,IBERIA,30.0042,-91.7974,1063890,3414,22045,73613.85714285714,2.1,6.477311162924513,RETAIL PHARMACY,FAMILY DRUGSTORE NEW IBERIA,DBA DELAUNE'S PHAR & HOME MED,NEW IBERIA,70563,,308 N LEWIS STREET
FN2431182,LA,IBERIA,30.0042,-91.7974,352160,1343,22045,73613.85714285714,0.7,2.143996211108171,RETAIL PHARMACY,"NEW IBERIA RX, INC.",308 NORTH LEWIS STREET,NEW IBERIA,70563,D/B/A DELAUNE'S PHARMACY,
AB1137505,LA,IBERVILLE,30.1714,-91.1464,41700,374,22047,33405.42857142857,0.2,0.5593750604637937,RETAIL PHARMACY,BAJON'S PHARMACY INC,"32420 BOWIE ST, PO BOX 8",WHITE CASTLE,70788,,
BQ9221312,LA,JEFFERSON,30.0125,-90.1582,13560100,11198,22051,432413.71428571426,4.5,14.05480380068949,RETAIL PHARMACY,"QVL PHARMACY 224, LLC",3501 SEVERN AVE,METAIRIE,70002,,SUITE 3A
BC5286617,LA,JEFFERSON,30.0138,-90.1581,725900,1904,22051,432413.71428571426,0.2,0.7522844099218609,CHAIN PHARMACY,"LOUISIANA CVS PHARMACY, L.L.C.",3535 SEVERN AVE,METAIRIE,70002,DBA: CVS/PHARMACY  # 05342,
BE5286617,LA,JEFFERSON,30.0138,-90.1581,307100,800,22051,432413.71428571426,0.1,0.31820241643153935,CHAIN PHARMACY,"LOUISIANA CVS PHARMACY, L.L.C.",3535 SEVERN AVE,METAIRIE,70002,DBA: CVS/PHARMACY  # 05342,
BE5808677,LA,JEFFERSON,30.0062,-90.1543,3800,24,22051,432413.71428571426,0,0.0038350128364713202,RETAIL PHARMACY,EGAN PHARMACY,3121 21ST STREET,METAIRIE,70002,,
BW2191423,LA,JEFFERSON,30.0203,-90.257,2911000,6274,22051,432413.71428571426,1,3.0171186123471263,CHAIN PHARMACY,"WALGREEN LOUISIANA CO., INC.",821 W ESPLANADE,KENNER,70065,DBA: WALGREENS # 05472,
